No,Kode Saham,Nama Perusahaan,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,0,7025,6975,7000,-25,170700,1195377500,232,568.7,7025,28700,7000,22300,1924688333,1924688333,390711732,22900,11800,0,0,0
2,ABBA,Mahaka Media Tbk.,0,73,71,71,-1,3821800,272448300,265,156.9,72,1181200,70,1634200,3935892857,3935892857,1342139464,18500,150000,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,0,0,0,6000,0,0,0,0,1369.8,5900,7500,0,0,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,0,3490,3450,3460,-20,840500,2913174000,674,92.3,3460,900,3450,203400,2753165000,2753165000,568803889,261200,66000,0,0,0
5,ACES,Ace Hardware Indonesia Tbk.,825,830,800,805,-20,34732100,28215493000,5739,981.7,810,59200,805,280500,17150000000,17150000000,6832560000,14561900,2654800,0,0,0
6,ACST,Acset Indonusa Tbk.,0,177,170,170,-5,10595700,1817103700,1003,12.6,171,225800,170,2151300,12675160000,12675160000,1560312196,178300,954400,100,17100,1
7,ADCP,Adhi Commuter Properti Tbk.,0,55,53,54,0,4351700,234906800,218,41.5,54,124900,53,5625000,22222222200,22222222200,2222222220,0,0,0,0,0
8,ADES,Akasha Wira International Tbk.,0,10325,10050,10075,-125,59200,601595000,131,523.4,10075,2200,10050,4000,589896800,589896800,48961434,12400,1100,0,0,0
9,ADHI,Adhi Karya (Persero) Tbk.,0,408,398,400,-6,4951700,1993144200,1182,344.2,402,163700,400,97500,8407608979,8407608979,2998994123,872000,43300,0,0,0
10,ADMF,Adira Dinamika Multi Finance Tbk.,0,10700,10600,10625,-75,29400,313065000,51,457.0,10650,38900,10625,1000,1000000000,1000000000,79200000,2300,0,0,0,0
11,ADMG,Polychem Indonesia Tbk,0,155,142,146,4,639200,95002900,248,13.0,146,9900,145,79800,3889179559,3889179559,520372225,10000,3200,0,0,0
12,ADMR,Adaro Minerals Indonesia Tbk.,0,1215,1165,1175,-10,13381600,15903858000,2208,1175.0,1180,109300,1175,90100,40882331500,40882331500,6606584770,4417800,3839900,0,0,0
13,ADRO,Adaro Energy Indonesia Tbk.,2450,2510,2450,2480,30,29145200,72400951000,4443,225.5,2480,169400,2470,124300,31985962000,31985962000,14860677945,4110100,13647000,19198,47801040,8
14,AEGS,Anugerah Spareparts Sejahtera Tbk.,0,68,56,58,-4,11783900,778821400,1115,58.0,62,20000,58,40300,1006000000,400000000,0,0,0,0,0,0
15,AGAR,Asia Sejahtera Mina Tbk.,0,0,0,132,0,0,0,0,120.0,132,1000,130,300,1000000000,1000000000,250100000,0,0,0,0,0
16,AGII,Samator Indo Gas Tbk.,0,1480,1450,1470,15,49700,72743000,67,133.6,1470,10800,1460,38200,3066660000,3066660000,229999500,0,2900,0,0,0
